Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,San Antonio Spurs,27.1,16.0,8.0,0.667,17,7,103.7,97.7,6.0,91.0,0.399,0.198,0.525,,0.476,14.4,28.6,0.284,,0.439,14.0,73.4,0.216
2.0,New Jersey Nets,27.3,14.0,6.0,0.7,12,8,102.6,98.9,3.7,89.9,0.336,0.165,0.506,,0.453,14.1,30.9,0.256,,0.464,14.8,76.7,0.252
3.0,Sacramento Kings,28.3,7.0,5.0,0.583,7,5,112.0,109.6,2.4,94.7,0.341,0.215,0.549,,0.499,12.0,29.3,0.265,,0.495,12.7,70.7,0.216
4.0,Portland Trail Blazers,28.1,3.0,4.0,0.429,4,3,115.2,114.1,1.1,87.9,0.373,0.215,0.551,,0.501,13.0,36.3,0.28,,0.507,11.1,72.7,0.228
5.0,Detroit Pistons,27.9,8.0,9.0,0.471,9,8,102.7,101.7,1.0,86.5,0.416,0.258,0.515,,0.455,13.3,25.5,0.308,,0.459,14.8,70.6,0.253
6.0,Philadelphia 76ers,29.0,6.0,6.0,0.5,6,6,105.8,104.8,1.0,85.6,0.345,0.141,0.527,,0.468,14.5,31.3,0.277,,0.473,13.8,72.3,0.268
7.0,Los Angeles Lakers,27.9,6.0,6.0,0.5,6,6,107.1,106.9,0.2,92.8,0.313,0.24,0.529,,0.491,12.7,27.9,0.222,,0.5,13.1,76.2,0.251
8.0,Dallas Mavericks,27.8,10.0,10.0,0.5,10,10,110.5,111.1,-0.6,93.2,0.245,0.269,0.546,,0.503,11.6,25.0,0.203,,0.494,12.5,70.4,0.286
9.0,Boston Celtics,27.0,4.0,6.0,0.4,5,5,101.4,102.1,-0.7,90.4,0.303,0.307,0.528,,0.477,14.2,20.8,0.243,,0.449,14.0,73.0,0.311
10.0,New Orleans Hornets,28.8,2.0,4.0,0.333,3,3,106.4,108.3,-1.9,87.2,0.328,0.222,0.526,,0.479,14.2,31.5,0.244,,0.471,14.0,68.5,0.306
11.0,Milwaukee Bucks,30.3,2.0,4.0,0.333,2,4,105.8,110.5,-4.7,90.9,0.312,0.214,0.541,,0.499,12.9,21.0,0.233,,0.494,14.7,65.3,0.306
12.0,Phoenix Suns,25.4,2.0,4.0,0.333,2,4,91.5,97.3,-5.8,91.4,0.265,0.187,0.456,,0.414,14.8,27.8,0.189,,0.438,16.8,67.4,0.302
13.0,Indiana Pacers,26.2,2.0,4.0,0.333,2,4,100.9,107.1,-6.2,88.8,0.418,0.227,0.496,,0.422,13.3,29.4,0.33,,0.492,12.3,79.2,0.251
14.0,Minnesota Timberwolves,28.0,2.0,4.0,0.333,2,4,104.2,110.8,-6.6,94.8,0.319,0.173,0.544,,0.492,14.6,22.6,0.257,,0.498,10.7,70.9,0.211
15.0,Orlando Magic,26.5,3.0,4.0,0.429,2,5,99.5,107.8,-8.3,88.0,0.357,0.223,0.517,,0.459,15.3,24.7,0.279,,0.462,13.0,69.2,0.328
16.0,Utah Jazz,31.2,1.0,4.0,0.2,1,4,104.2,116.1,-11.9,89.2,0.386,0.087,0.511,,0.446,15.3,35.4,0.303,,0.516,12.9,65.3,0.272
,League Average,27.8,,,,6,5,105.1,105.1,,90.3,0.34,0.215,0.525,,0.474,13.6,27.9,0.259,,0.474,13.6,72.1,0.259
