Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,Miami Heat,28.8,16.0,7.0,0.696,17,6,109.6,101.6,8.0,88.0,0.364,0.258,0.552,,0.505,12.8,26.1,0.271,,0.466,14.0,74.0,0.229
2.0,San Antonio Spurs,28.9,10.0,4.0,0.714,10,4,110.3,103.9,6.4,92.4,0.29,0.287,0.574,,0.541,13.8,21.8,0.212,,0.48,12.6,74.8,0.216
3.0,Oklahoma City Thunder,25.7,13.0,7.0,0.65,13,7,111.8,107.4,4.4,90.6,0.306,0.24,0.558,,0.508,11.3,23.6,0.251,,0.491,13.7,74.7,0.262
4.0,Indiana Pacers,26.4,6.0,5.0,0.545,6,5,102.4,100.9,1.5,88.0,0.289,0.225,0.507,,0.461,14.4,29.8,0.223,,0.469,13.2,75.2,0.217
5.0,Boston Celtics,30.1,11.0,9.0,0.55,11,9,100.4,99.2,1.2,87.8,0.28,0.211,0.516,,0.468,13.0,20.1,0.224,,0.464,13.4,75.1,0.203
6.0,Memphis Grizzlies,26.1,3.0,4.0,0.429,4,3,102.8,102.0,0.8,87.7,0.403,0.155,0.509,,0.449,14.7,32.6,0.3,,0.493,15.0,75.9,0.244
7.0,Denver Nuggets,26.0,3.0,4.0,0.429,4,3,107.1,106.6,0.5,90.3,0.227,0.213,0.492,,0.46,10.2,33.0,0.163,,0.461,11.0,66.7,0.186
8.0,Philadelphia 76ers,24.7,7.0,6.0,0.538,6,7,96.9,98.3,-1.4,88.5,0.312,0.168,0.482,,0.436,11.5,23.9,0.225,,0.459,14.1,76.8,0.198
9.0,Chicago Bulls,27.8,2.0,4.0,0.333,3,3,95.7,97.6,-1.9,88.1,0.229,0.157,0.475,,0.448,13.9,26.8,0.149,,0.428,9.9,78.2,0.248
10.0,Los Angeles Lakers,28.5,5.0,7.0,0.417,4,8,105.4,110.0,-4.6,89.2,0.285,0.207,0.502,,0.454,11.8,31.0,0.221,,0.474,9.7,69.7,0.2
11.0,Los Angeles Clippers,26.8,4.0,7.0,0.364,4,7,101.3,106.5,-5.2,88.9,0.315,0.217,0.53,,0.499,14.7,22.2,0.21,,0.491,14.5,71.0,0.268
12.0,Atlanta Hawks,28.1,2.0,4.0,0.333,2,4,91.8,97.1,-5.3,87.9,0.204,0.237,0.475,,0.438,15.1,22.6,0.16,,0.461,13.0,82.3,0.211
13.0,Dallas Mavericks,32.6,0.0,4.0,0.0,1,3,102.9,110.1,-7.2,90.6,0.343,0.276,0.519,,0.455,13.9,24.7,0.285,,0.52,12.8,80.5,0.265
14.0,Orlando Magic,27.8,1.0,4.0,0.2,1,4,94.8,107.0,-12.2,86.6,0.244,0.316,0.486,,0.452,14.0,22.6,0.172,,0.48,13.3,68.4,0.196
15.0,New York Knicks,27.9,1.0,4.0,0.2,1,4,95.2,111.3,-16.1,86.9,0.297,0.248,0.499,,0.451,18.1,30.1,0.226,,0.511,13.7,74.1,0.315
16.0,Utah Jazz,25.0,0.0,4.0,0.0,0,4,93.9,111.3,-17.4,91.9,0.306,0.131,0.443,,0.395,12.2,32.0,0.216,,0.533,11.6,80.7,0.213
,League Average,27.6,,,,5,5,103.6,103.6,,89.0,0.3,0.225,0.52,,0.476,13.1,25.6,0.226,,0.476,13.1,74.4,0.226
