Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 20_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20_level_1,eFG%,TOV%,DRB%,FT/FGA
1.0,Golden State Warriors,28.2,16.0,6.0,0.727,14,8,115.2,110.0,5.2,97.1,0.23,0.433,0.59,,0.561,13.3,23.6,0.176,,0.522,12.7,77.5,0.205
2.0,Miami Heat,28.3,11.0,7.0,0.611,11,7,110.6,106.6,4.0,94.2,0.253,0.408,0.55,,0.509,12.0,23.3,0.203,,0.52,14.9,79.4,0.251
3.0,Boston Celtics,26.3,14.0,10.0,0.583,15,9,110.7,107.0,3.7,95.3,0.283,0.448,0.574,,0.533,13.8,21.9,0.226,,0.501,12.3,76.9,0.181
4.0,Memphis Grizzlies,23.9,6.0,6.0,0.5,7,5,110.2,107.8,2.4,102.1,0.297,0.392,0.545,,0.507,11.9,25.8,0.218,,0.53,15.6,77.7,0.211
5.0,Milwaukee Bucks,29.5,7.0,5.0,0.583,7,5,104.4,102.8,1.6,98.5,0.236,0.367,0.529,,0.498,12.4,21.6,0.172,,0.499,11.9,83.8,0.168
6.0,Dallas Mavericks,27.1,9.0,9.0,0.5,9,9,114.9,114.1,0.8,92.6,0.289,0.513,0.584,,0.546,10.1,15.7,0.223,,0.539,12.8,74.7,0.214
7.0,Philadelphia 76ers,27.4,6.0,6.0,0.5,6,6,112.3,112.0,0.3,92.2,0.29,0.426,0.592,,0.545,14.3,20.4,0.246,,0.512,11.0,75.8,0.207
8.0,Phoenix Suns,27.8,7.0,6.0,0.538,6,7,115.6,116.7,-1.1,93.1,0.229,0.328,0.591,,0.557,12.7,24.2,0.187,,0.539,12.2,73.8,0.237
9.0,New Orleans Pelicans,25.5,2.0,4.0,0.333,3,3,117.6,119.2,-1.6,93.4,0.342,0.312,0.566,,0.518,13.0,35.0,0.267,,0.575,10.7,80.3,0.193
10.0,Brooklyn Nets,29.5,0.0,4.0,0.0,1,3,116.3,121.1,-4.8,93.8,0.33,0.349,0.61,,0.577,14.6,23.0,0.244,,0.562,12.9,69.9,0.223
11.0,Minnesota Timberwolves,24.8,2.0,4.0,0.333,2,4,106.4,111.8,-5.4,102.6,0.341,0.435,0.579,,0.527,15.8,17.1,0.276,,0.519,13.6,72.5,0.268
12.0,Utah Jazz,29.1,2.0,4.0,0.333,2,4,108.8,115.0,-6.2,91.0,0.335,0.378,0.546,,0.495,11.5,22.8,0.264,,0.54,8.7,85.5,0.217
13.0,Denver Nuggets,28.1,1.0,4.0,0.2,1,4,113.6,121.8,-8.2,96.9,0.304,0.379,0.586,,0.543,14.9,28.0,0.242,,0.608,12.2,81.4,0.23
14.0,Toronto Raptors,25.3,2.0,4.0,0.333,2,4,111.2,120.2,-9.0,91.2,0.244,0.382,0.542,,0.503,9.5,23.0,0.194,,0.576,14.0,76.7,0.275
15.0,Atlanta Hawks,25.5,1.0,4.0,0.2,1,4,102.3,114.9,-12.6,95.2,0.281,0.448,0.554,,0.513,15.7,21.3,0.22,,0.542,12.2,79.0,0.194
16.0,Chicago Bulls,26.4,1.0,4.0,0.2,1,4,94.9,109.4,-14.5,100.3,0.16,0.408,0.493,,0.461,11.9,15.8,0.133,,0.553,13.9,81.4,0.17
,League Average,27.2,,,,6,5,111.2,111.2,,95.5,0.27,0.413,0.567,,0.529,12.8,22.3,0.212,,0.529,12.8,77.7,0.212
